project_ID	projectLocation_ID	precision_code	geoname_ID	placename	latitude	longitude	location_type	R_ID	R_NAME	Z_ID	Z_NAME	D_ID	D_NAME	V_ID	V_NAME
8723883742	8723883742_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723883778	8723883778_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238891280	87238891280_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723889686	8723889686_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723889741	8723889741_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723889745	8723889745_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723892735	8723892735_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723893376	8723893376_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723893800	8723893800_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238963532	87238963532_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238963560	87238963560_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238963568	87238963568_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723896611	8723896611_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723896612	8723896612_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723896614	8723896614_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723896615	8723896615_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723896623	8723896623_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723896624	8723896624_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723896625	8723896625_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723896626	8723896626_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723896628	8723896628_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723896631	8723896631_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723896632	8723896632_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723896639	8723896639_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723898853	8723898853_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723892733	8723892733_1283240	1	1283240	Kathmandu	27.70169	85.3206	"capital of a political entity"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu	NP-0000-0000-0034-0385	KathmanduN.P.
8723893360	8723893360_1283240	1	1283240	Kathmandu	27.70169	85.3206	"capital of a political entity"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu	NP-0000-0000-0034-0385	KathmanduN.P.
87238110585	87238110585_1283240	1	1283240	Kathmandu	27.70169	85.3206	"capital of a political entity"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu	NP-0000-0000-0034-0385	KathmanduN.P.
87238100577	87238100577_1283240	1	1283240	Kathmandu	27.70169	85.3206	"capital of a political entity"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu	NP-0000-0000-0034-0385	KathmanduN.P.
